"","Latitude","Longitude","Actual.Address.of.Premises..Address1.","Zip"
"891",40.74106161,-73.98360934,"68 LEXINGTON AVENUE","10010"
"915",40.75375893,-73.97436435,"466 LEXINGTON AVE","10017"
"927",40.7377055,-73.98644126,"16 GRAMERCY PARK","10003"
"975",40.77024126,-73.96601475,"46 E 70TH ST","10021"
"1040",40.70350367,-74.01153665,"101 BROAD ST FL 2","10004"
"1059",40.71859939,-73.9833095,"202 RIVINGTON STREET","10002"
"1062",40.76065445,-73.97267357,"60 EAST 55TH STREET","10022"
"1065",40.83675388,-73.93930273,"2088 AMSTERDAM AVENUE","10032"
"1073",40.73903868,-74.00077599,"239 W 14TH ST","10011"
"1576",40.73911163,-74.00079813,"241 W 14TH STREET","10011"
"1592",40.74825553,-73.98888304,"883 6TH AVE","10001"
"2030",40.77428069,-73.98305871,"155 W 66TH ST-1ST FLOOR","10023"
"2092",40.76524092,-73.97132158,"11 E 61ST ST","10065"
"2133",40.81496875,-73.96109368,"500 527 RIVERSIDE DR","10027"
"2136",40.76944596,-73.98096493,"15 CENTRAL PARK WEST","10023"
"2137",40.74029673,-74.00591736,"29 35 9TH AVE 6TH FLOOR","10014"
"2291",40.72816332,-73.98790286,"122 2ND AVENUE GR FL","10003"
"2297",40.73781161,-73.98654384,"15 GRAMERCY PARK S","10003"
"2314",40.70653859,-74.00818758,"60 62 64 PINE STREET","10005"
"2319",40.73441277,-73.99467317,"47 5TH AVENUE","10003"
"2320",40.74106161,-73.98360934,"68 LEXINGTON AVENUE","10010"
"2321",40.72858855,-74.00176564,"73 75 77 MAC DOUGAL ST","10012"
"2336",40.75373687,-73.97747607,"50 VANDERBILT AVE","10017"
"2338",40.74943875,-73.9811967,"38 E 37TH STREET","10016"
"2339",40.754574,-73.979627,"6 E 44TH STREET","10017"
"2344",40.76483529,-73.97855523,"146 W 57TH STREET","10019"
"2364",40.76070483,-73.97989374,"1285 AVENUE OF THE AMERICAS","10019"
"2365",40.76658982,-73.97854878,"180 CENTRAL PARK SOUTH","10019"
"2366",40.7649079,-73.9784302,"145 W 57TH STREET","10019"
"2367",40.73022495,-73.99468872,"18 WAVERLY PLACE","10003"
"2368",40.76112249,-73.97539931,"1  W 54TH STREET","10019"
"2369",40.75929954,-73.97691088,"3 W 51ST STREET","10019"
"2370",40.74512268,-73.97654995,"243 E 34TH ST","10016"
"2371",40.7650366,-73.96846162,"564 PARK AVE","10021"
"2372",40.77023166,-73.96793008,"8 E 69TH STREET","10021"
"2386",40.76423694,-73.95535453,"521 E 68TH STREET","10021"
"2387",40.76596066,-73.97166753,"807 5TH AVENUE","10021"
"2389",40.76532747,-73.96988248,"36 E 62ND ST","10021"
"2390",40.76860587,-73.96959584,"5 E 66TH STREET","10021"
"2391",40.76669874,-73.9653711,"122 E 66TH ST & 129 E 65TH ST","10065"
"2392",40.76598769,-73.96918879,"41 E 63RD STREET","10021"
"2393",NA,NA,"15 E 67TH STREET","10065"
"2394",40.76482577,-73.96673971,"128 E 63RD STREET","10065"
"2395",40.77584852,-73.95905923,"128 130 E 80TH STREET","10075"
"2404",40.71363059,-74.01171387,"250 GREENWICH ST 40TH FL","10007"
"2405",40.72099344,-74.00552974,"1230 52 YORK AVE","10021"
"2418",40.76929999,-73.96490726,"701 707 PARK AVE","10021"
"2419",40.75979886,-73.97035056,"127 E 55TH STREET 3RD FLOOR","10022"
"2420",40.76457201,-73.97279851,"783 5TH AVE","10022"
"2421",40.76077492,-73.97266075,"57 E 55TH STREET","10022"
"2422",40.76473799,-73.97232598,"4 E 60TH STREET","10022"
"2423",40.75888429,-73.97295134,"370 PARK AVE","10022"
"2424",40.76365968,-73.95614153,"1233 YORK AVE","10021"
"2427",40.75950703,-73.97158125,"111 E 54TH STREET","10022"
"2428",40.75732493,-73.9626929,"430 E 56TH ST","10022"
"2432",40.75474245,-73.96419237,"447 E 52ND STREET","10022"
"2433",40.77246948,-73.98382168,"LINCOLN CENTER PLAZA","10023"
"2445",40.80671436,-73.95908118,"400 W 117TH ST","10027"
"2446",40.75498858,-73.98061239,"20 WEST 44TH STREET, SIXTH FL","10036"
"2450",40.83090919,-73.941569,"454 W 155TH STREET","10032"
"2451",40.75518486,-73.98078051,"27 W 44TH STREET","10036"
"2452",40.75517077,-73.98089613,"30 W 44TH ST","10036"
"2455",40.76492595,-73.97244663,"1 E 60TH STREET","10022"
"2456",40.75429448,-73.98062158,"7 W 43RD STREET","10036"
"2457",40.75531627,-73.98109272,"37 41 W 44TH STREET","10036"
"2458",40.75440405,-73.98086786,"15 W 43RD STREET","10036"
"2459",40.7552837,-73.98131356,"42 W 44TH STREET","10036"
"2460",40.78054258,-73.95391929,"165 E 88TH STREET","10128"
"2461",40.7820661,-73.9597696,"6 E 87TH STREET","10128"
